uid,nickname,username,verified,follower_count,like_count,video_count,hashtags
6719476885715813381,Walker Hayes,walkerhayesofficial,True,2000000,18000000,206,
6923134890816848902,Anonymous_Jay_Zeus_Official,anonymous_jay_zeus,False,24900,250300,266,
6933778271533417478,bobbyshmurdatwin,bobbyshmurdatwin,False,27,2035,1,
6786664648160904197,The Goldfish Guy,lukesgoldies,False,3200000,79500000,1778,
7000361947348960261,thishourhas22minutes,thishourhas22minutes,False,351100,3900000,20,
6789604926555603973,The Toronto Zoo,thetorontozoo,True,249200,2400000,123,
6531892024520982537,Guy With The Hair,officialguywiththehair,False,814300,5000000,42,
6625294714394591237,Carla,carlaiglesiasss,False,513,7177,12,
6813560925275128838,Kris HC,kallmekris,True,37800000,1600000000,1191,
6733594125989970950,Date Night Canada,datenightcanada,False,73300,699900,910,
7007319958909453317,leo.husky,leo.husky,False,1100000,36000000,238,
6707891931256947718,C Stove,caitlinstove,False,5130,1700000,112,
6961458548681819142,Ryan Reynolds,vancityreynolds,True,14000000,55000000,11,['freeguy']
6742470921233990661,kopke613,kopke613,False,3400000,75400000,303,"['canadian', 'canada']"
6993810126499251205,Tam_less81,tam_less81,False,4952,69500,14,"['smiling', 'picnictime', 'bear']"
6900751760702129157,Bostick Family Light Show,bostickfamilylightshow,False,648400,14500000,63,"['', 'bostickfamilylightshow', 'tombetgeorge', 'fypシ', 'foryoupage', 'foryou', 'fyp', 'funny', 'fy', 'coincidance', 'danceoff', 'halloween', 'spooky']"
6704716977732879366,Christopher Wigle,christopherwigle,False,93400,1400000,863,"['', '', 'fyp', 'wiglehouse', 'timhortons', 'coffee', 'cotoneyejoe']"
6778260823494050821,NileRed,nilered,True,6000000,100900000,90,"['science', 'chemistry', 'nilered']"
3699061,Sarah Magusara,sarahmagusara,True,17000000,1000000000,1862,[]
6676352751163032582,LADbible,ladbible,True,7100000,303700000,1553,"['', 'ladbible', 'fyp', 'foryou', 'dogsofttiktok', 'funny', 'crazy']"
